num,prov,poly_num,X,Y,Path
13002,NB,1,8286435.0,1529059.62571429,1503
13002,NB,1,8284125.60857143,1531269.14571429,1504
13002,NB,1,8278867.88285714,1533737.70571429,1505
13002,NB,1,8275577.31714286,1537119.64571429,1506
13002,NB,1,8266990.28285714,1541578.85714286,1507
13002,NB,1,8264647.5,1545934.0,1508
13002,NB,1,8261359.36285714,1547386.88571429,1509
13002,NB,1,8262851.96571429,1548669.45142857,1510
13002,NB,1,8260622.17428571,1550981.64857143,1511
13002,NB,1,8261583.78285714,1552013.55428571,1512
13002,NB,1,8258905.30571429,1553965.48285714,1513
13002,NB,1,8259958.71428571,1554884.99428571,1514
13002,NB,1,8261800.26857143,1554979.24857143,1515
13002,NB,1,8260822.5,1557094.75142857,1516
13002,NB,1,8258615.52285714,1554959.02857143,1517
13002,NB,1,8255501.24,1558236.24285714,1518
13002,NB,1,8253374.56285714,1556186.63142857,1519
13002,NB,1,8252594.65714286,1556975.69714286,1520
13002,NB,1,8249994.48857143,1554535.28,1521
13002,NB,1,8250622.51428571,1554180.32857143,1522
13002,NB,1,8248861.03142857,1551876.14857143,1523
13002,NB,1,8247721.65428571,1552646.21428571,1524
13002,NB,1,8245700.07428571,1550170.98285714,1525
13002,NB,1,8245038.64857143,1549160.89428571,1526
13002,NB,1,8246094.47142857,1548572.65428571,1527
13002,NB,1,8245973.56285714,1548253.48,1528
13002,NB,1,8240514.64571429,1552023.20285714,1529
13002,NB,1,8238606.54571429,1552363.68285714,1530
13002,NB,1,8233414.93714286,1555430.49142857,1531
13002,NB,1,8230982.03714286,1554694.20285714,1532
13002,NB,1,8219300.32571429,1563039.82,1533
13002,NB,1,8231854.80285714,1588838.61142857,1534
13002,NB,1,8227446.98285714,1593631.51142857,1535
13002,NB,1,8226130.33428571,1593558.1,1536
13002,NB,1,8223498.14857143,1596077.04571429,1537
13002,NB,1,8222401.61428571,1593395.16,1538
13002,NB,1,8219659.64571429,1595653.52571429,1539
13002,NB,1,8190124.94571429,1582320.79142857,1540
35018,ON,1,7217177.47428571,930210.554285714,1541
35018,ON,1,7217826.80285714,930796.914285714,1542
35018,ON,1,7217361.98857143,931740.477142857,1543
35018,ON,1,7218345.76,932312.62,1544
35018,ON,1,7219004.91142857,931300.351428571,1545
35018,ON,1,7219900.92571429,931654.762857143,1546
35018,ON,1,7221998.27714286,926685.085714286,1547
35018,ON,1,7220107.0,927339.125714286,1548
35018,ON,1,7217177.47428571,930210.554285714,1549
35019,ON,1,7223943.37428571,941647.554285714,1550
35019,ON,1,7227399.17428571,942571.871428571,1551
35019,ON,1,7230025.12,937461.854285714,1552
35019,ON,1,7228546.86285714,936675.442857143,1553
35019,ON,1,7227728.36857143,935061.471428571,1554
35019,ON,1,7227500.71428571,935820.542857143,1555
35019,ON,1,7225890.04285714,936222.325714286,1556
35019,ON,1,7223943.37428571,941647.554285714,1557
13009,NB,1,8188101.99714286,1418817.72571429,1558
13009,NB,1,8200708.48571429,1431582.84285714,1559
13009,NB,1,8199936.51428571,1432757.32,1560
13009,NB,1,8200560.12285714,1433109.75714286,1561
13009,NB,1,8201094.43142857,1432339.85142857,1562
13009,NB,1,8201297.13714286,1436296.74857143,1563
13009,NB,1,8199735.62,1440116.08285714,1564
13009,NB,1,8202783.68857143,1439209.87714286,1565
13009,NB,1,8204513.70285714,1440638.08571429,1566
13009,NB,1,8208248.29142857,1440141.16285714,1567
13009,NB,1,8207817.46285714,1438086.55714286,1568
13009,NB,1,8215189.74285714,1436487.79714286,1569
13009,NB,1,8214377.85714286,1433830.44,1570
13009,NB,1,8212328.70571429,1434299.04,1571
13009,NB,1,8213175.87142857,1430959.72,1572
13009,NB,1,8214190.28857143,1429941.81714286,1573
13009,NB,1,8213952.91142857,1428025.01428571,1574
13009,NB,1,8215283.83142857,1427351.40857143,1575
13009,NB,1,8216525.20857143,1428117.55142857,1576
13009,NB,1,8220435.06857143,1423302.9,1577
13009,NB,1,8215617.13428571,1418627.81428571,1578
13009,NB,1,8211262.20571429,1419944.32857143,1579
13009,NB,1,8210017.5,1418403.75142857,1580
13009,NB,1,8208708.7,1419141.23142857,1581
13009,NB,1,8202192.0,1415830.37428571,1582
13009,NB,1,8197743.06,1406461.46,1583
13009,NB,1,8194766.5,1402753.62571429,1584
13009,NB,1,8188101.99714286,1418817.72571429,1585
13008,NB,1,8078879.33428571,1426764.74571429,1586
13008,NB,1,8082972.00571429,1454538.10285714,1587
13008,NB,1,8081658.69714286,1456264.05428571,1588
13008,NB,1,8085156.42571429,1458746.13142857,1589
13008,NB,1,8085022.69142857,1461082.04857143,1590
13008,NB,1,8085744.86285714,1462419.40857143,1591
13008,NB,1,8092734.78857143,1462312.42,1592
13008,NB,1,8108108.89714286,1458570.58857143,1593
13008,NB,1,8111798.74,1458953.79142857,1594
13008,NB,1,8112366.62571429,1459418.76,1595
13008,NB,1,8113112.08285714,1468773.27428571,1596
13008,NB,1,8114037.56571429,1470465.33714286,1597
13008,NB,1,8115751.38285714,1471116.06,1598
13008,NB,1,8116503.16285714,1473718.71714286,1599
13008,NB,1,8118064.33142857,1475121.83142857,1600
13008,NB,1,8126328.47428571,1476725.73428571,1601
13008,NB,1,8126366.2,1475934.34285714,1602
13008,NB,1,8118371.18285714,1473383.65428571,1603
13008,NB,1,8119090.58857143,1472141.57142857,1604
13008,NB,1,8124001.69714286,1474197.30571429,1605
13008,NB,1,8124151.63428571,1473363.60285714,1606
13008,NB,1,8124722.39714286,1473518.05142857,1607
13008,NB,1,8124463.81142857,1472045.10571429,1608
13008,NB,1,8123175.97428571,1470857.61428571,1609
13008,NB,1,8124251.75428571,1471273.05428571,1610
